Country,WHO Region,Cases - cumulative total,Cases - newly reported in last 7 days,Deaths - cumulative total,Deaths - newly reported in last 7 days,Latitude,Longitude
Afghanistan,Eastern Mediterranean,224419,114,7938,2,33.93911,67.709953
Albania,Europe,334090,0,3604,0,41.153332,20.168331
Algeria,Africa,271852,0,6881,0,28.033886,1.659626
American Samoa,Western Pacific,8341,0,34,0,-14.270972,-170.132217
Andorra,Europe,48015,0,159,0,42.546245,1.601554
Angola,Africa,105384,0,1934,0,-11.202692,17.873887
Anguilla,Americas,3904,0,12,0,18.220554,-63.068615
Antigua and Barbuda,Americas,9106,0,146,0,17.060816,-61.796428
Argentina,Americas,10044957,0,130472,0,-38.416097,-63.616672
Armenia,Europe,449293,11,8751,0,40.069099,45.038189
Aruba,Americas,44224,0,292,0,12.52111,-69.968338
Australia,Western Pacific,11560270,0,22482,0,-25.274398,133.775136
Austria,Europe,6081287,0,22534,0,47.516231,14.550072
Azerbaijan,Europe,832036,15,10293,3,40.143105,47.576927
Bahamas,Americas,38084,0,844,0,25.03428,-77.39628
Bahrain,Eastern Mediterranean,696614,0,1536,0,25.930414,50.637772
Bangladesh,South-East Asia,2044861,297,29475,2,23.684994,90.356331
Barbados,Americas,109503,0,620,0,13.193887,-59.543198
Belarus,Europe,994037,0,7118,0,53.709807,27.953389
Belgium,Europe,4802854,1,34376,0,50.503887,4.469936
Belize,Americas,70782,0,688,0,17.189877,-88.49765
Benin,Africa,28014,0,163,0,9.30769,2.315834
Bermuda,Americas,18860,0,165,0,32.321384,-64.75737
Bhutan,South-East Asia,62691,0,21,0,27.514162,90.433601
Bolivia (Plurinational State of),Americas,1206420,0,22399,0,-16.290154,-63.588653
Bonaire,Americas,9864,0,33,0,12.2019,-68.2624
Bosnia and Herzegovina,Europe,403053,0,16352,0,43.915886,17.679076
Botswana,Africa,330194,0,2800,0,-22.328474,24.684866
Brazil,Americas,37717062,0,704659,0,-14.235004,-51.92528
British Virgin Islands,Americas,7305,0,64,0,18.420695,-64.639968
Brunei Darussalam,Western Pacific,310106,0,163,0,4.535277,114.727669
Bulgaria,Europe,1299024,0,38397,0,42.733883,25.48583
Burkina Faso,Africa,22056,0,396,0,12.238333,-1.561593
Burundi,Africa,54234,0,15,0,-3.373056,29.918886
Cabo Verde,Africa,64189,0,414,0,16.5388,-23.0418
Cambodia,Western Pacific,138940,2,3056,0,12.565679,104.990963
Cameroon,Africa,125090,0,1974,0,7.369722,12.354722
Canada,Americas,4697504,0,53147,0,56.130366,-106.346771
Cayman Islands,Americas,31472,0,37,0,19.513469,-80.566956
Central African Republic,Africa,15367,0,113,0,6.611111,20.939444
Chad,Africa,7698,0,194,0,15.454166,18.732207
Chile,Americas,5289055,264,61614,9,-35.675147,-71.542969
China,Western Pacific,99300923,553,121628,0,35.86166,104.195397
Colombia,Americas,6378000,858,142961,19,4.570868,-74.297333
Comoros,Africa,9109,0,160,0,-11.875001,43.872219
Congo,Africa,25196,0,389,0,-4.0383,21.7587
Cook Islands,Western Pacific,7152,1,2,0,-21.236736,-159.777671
Costa Rica,Americas,1238883,0,9428,0,9.748917,-83.753428
Côte d’Ivoire,Africa,88338,0,835,0,7.54,-5.5471
Croatia,Europe,1274123,0,18286,0,45.1,15.2
Cuba,Americas,1115064,0,8530,0,21.521757,-77.781167
Curaçao,Americas,45883,0,305,0,12.1696,-68.99
Cyprus,Europe,660854,0,1364,0,35.1264,33.4299
Czechia,Europe,4643190,120,42813,0,35.126413,33.429859
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,49.817492,15.472962
Democratic Republic of the Congo,Africa,97697,0,1468,0,-4.0383,21.7587
Denmark,Europe,3414815,141,8773,2,56.26392,9.501785
Djibouti,Eastern Mediterranean,15690,0,189,0,11.825138,42.590275
Dominica,Americas,15760,0,74,0,15.414999,-61.370976
Dominican Republic,Americas,667048,0,4384,0,18.735693,-70.162651
Ecuador,Americas,1069114,0,36042,0,-1.831239,-78.183406
Egypt,Eastern Mediterranean,516023,0,24830,0,26.820553,30.802498
El Salvador,Americas,201785,0,4230,0,13.794185,-88.89653
Equatorial Guinea,Africa,17130,0,183,0,1.650801,10.267895
Eritrea,Africa,10189,0,103,0,15.179384,39.782334
Estonia,Europe,601746,0,2900,0,58.595272,25.013607
Eswatini,Africa,74882,0,1427,0,-26.5225,31.4659
Ethiopia,Africa,500946,0,7574,0,9.145,40.489673
Falkland Islands (Malvinas),Americas,1923,0,0,0,-51.796253,-59.523613
Faroe Islands,Europe,34658,0,28,0,61.892635,-6.911806
Fiji,Western Pacific,69047,0,885,0,-16.578193,179.414413
Finland,Europe,1483389,0,10087,0,61.92411,25.748151
France,Europe,38997490,0,167985,0,46.227638,2.213749
French Guiana,Americas,98041,0,413,0,3.933889,-53.125782
French Polynesia,Western Pacific,78617,0,649,0,-17.679742,-149.406843
Gabon,Africa,48992,0,307,0,-0.803689,11.609444
Gambia,Africa,12626,0,372,0,13.443182,-15.310139
Georgia,Europe,1848357,0,17116,0,42.315407,43.356892
Germany,Europe,38437756,0,174979,0,51.165691,10.451526
Ghana,Africa,171653,0,1462,0,7.946527,-1.023194
Gibraltar,Europe,20550,0,113,0,36.137741,-5.345374
Greece,Europe,5348223,0,37289,0,39.074208,21.824312
Greenland,Europe,11971,0,21,0,71.706936,-42.604303
Grenada,Americas,19693,0,238,0,12.262776,-61.604171
Guadeloupe,Americas,203235,0,1021,0,16.995971,-62.067641
Guam,Western Pacific,51786,0,415,0,13.444304,144.793731
Guatemala,Americas,1271061,0,20235,0,15.783471,-90.230759
Guernsey,Europe,35326,0,67,0,49.465691,-2.585278
Guinea,Africa,38563,0,468,0,9.945587,-9.696645
Guinea-Bissau,Africa,9614,0,177,0,11.803749,-15.180413
Guyana,Americas,73385,0,1299,0,4.860416,-58.93018
Haiti,Americas,34301,0,860,0,18.971187,-72.285215
Holy See,Europe,26,0,0,0,41.9029,12.4534
Honduras,Americas,474566,0,11127,0,15.199999,-86.241905
Hungary,Europe,2203315,0,48800,0,47.162494,19.503304
Iceland,Europe,208814,0,186,0,64.963051,-19.020835
India,South-East Asia,44996059,334,531918,1,20.593684,78.96288
Indonesia,South-East Asia,6813095,55,161916,1,-0.789275,113.921327
Iran (Islamic Republic of),Eastern Mediterranean,7613070,109,146316,5,32.427908,53.688046
Iraq,Eastern Mediterranean,2465545,0,25375,0,33.223191,43.679291
Ireland,Europe,1715065,145,9125,16,53.41291,-8.24389
Isle of Man,Europe,38008,0,116,0,54.236107,-4.548056
Israel,Europe,4831826,258,12598,0,31.046051,34.851612
Italy,Europe,25918253,2187,191053,22,41.87194,12.56738
Jamaica,Americas,155860,0,3596,0,18.109581,-77.297508
Japan,Western Pacific,33803572,0,74694,0,36.204824,138.252924
Jersey,Europe,66391,0,161,0,49.214439,-2.13125
Jordan,Eastern Mediterranean,1746997,0,14122,0,30.585164,36.238414
Kazakhstan,Europe,1502857,0,19072,0,48.019573,66.923684
Kenya,Africa,343918,0,5689,0,-0.023559,37.906193
Kiribati,Western Pacific,5082,0,24,0,-3.370417,-168.734039
