COUNTRY,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,FIRST_VACCINE_DATE,PERSONS_BOOSTER_ADD_DOSE
Afghanistan,EMRO,8/8/23,20876493,17647645,2/22/21,2165696
Albania,EURO,5/14/23,3080679,1348396,1/13/21,399190
Algeria,AFRO,9/4/22,15267442,7840131,1/30/21,575651
American Samoa,WPRO,3/29/23,114706,46206,12/21/20,24160
Andorra,EURO,5/21/23,157059,57912,1/20/21,43068
Angola,AFRO,7/23/23,26521660,16177587,3/10/21,2437087
Anguilla,AMRO,6/2/23,24611,10854,2/5/21,3046
Antigua and Barbuda,AMRO,6/2/23,136512,64290,3/1/21,9838
Argentina,AMRO,10/7/22,109652736,41324100,12/29/20,30810184
Armenia,EURO,6/4/23,2158796,1122646,1/27/21,45446
Aruba,AMRO,6/2/23,216974,90449,2/17/21,35659
Australia,WPRO,7/6/23,68247343,22216819,2/21/21,14406392
Austria,EURO,6/11/23,20402999,6899834,12/30/20,5405808
Azerbaijan,EURO,6/11/23,13825256,5434679,1/20/21,3502852
Bahamas,AMRO,6/2/23,366359,174810,3/14/21,33717
Bahrain,EMRO,12/21/22,3476633,1241174,11/4/20,1008663
Bangladesh,SEARO,6/25/23,360177584,151379833,1/27/21,67588902
Barbados,AMRO,6/2/23,381721,163846,1/8/21,62839
Belarus,EURO,5/14/23,21997703,6439812,2/3/21,5713720
Belgium,EURO,6/11/23,29118547,9254386,12/30/20,7244723
Belize,AMRO,6/2/23,510770,258456,3/1/21,50238
Benin,AFRO,12/18/22,4232541,3697190,3/29/21,0
Bermuda,AMRO,6/2/23,132042,48554,1/11/21,31829
Bhutan,SEARO,10/30/22,2011426,699116,3/27/21,634641
Bolivia (Plurinational State of),AMRO,6/2/23,16016290,7492606,1/30/21,2487668
Bonaire,AMRO,6/2/23,43070,17460,,8125
Bosnia and Herzegovina,EURO,1/29/22,1924950,943394,,0
Botswana,AFRO,5/7/23,3171667,1951054,3/26/21,507654
Brazil,AMRO,6/2/23,513329718,188746389,1/17/21,110382337
British Virgin Islands,AMRO,6/2/23,41453,19466,2/11/21,3726
Brunei Darussalam,WPRO,6/30/23,1293100,451149,4/3/21,340466
Bulgaria,EURO,6/11/23,4618004,2108377,12/30/20,832572
Burkina Faso,AFRO,7/23/23,7893609,6089089,6/2/21,4056
Burundi,AFRO,7/23/23,40967,36909,10/18/21,314
Côte d’Ivoire,AFRO,2/19/23,25263932,13568372,3/1/21,3138712
Cabo Verde,AFRO,9/25/22,859940,356734,3/18/21,749
Cambodia,WPRO,7/7/23,47380134,15301258,2/10/21,10716594
Cameroon,AFRO,7/23/23,4792066,3697853,4/12/21,776588
Canada,AMRO,6/2/23,97596974,32645232,12/14/20,19776324
Cayman Islands,AMRO,6/2/23,151822,62085,1/15/21,24064
Central African Republic,AFRO,7/16/23,3182417,2600389,3/19/21,366221
Chad,AFRO,7/16/23,8559891,6254729,6/4/21,4042573
Chile,AMRO,6/2/23,66273384,18106832,12/21/20,15766986
China,WPRO,3/23/23,3515872818,1317994878,7/22/20,833820382
Colombia,AMRO,6/2/23,90506612,43012174,2/17/21,14792792
Comoros,AFRO,10/2/22,835021,438825,4/10/21,0
Congo,AFRO,7/31/22,833210,695760,3/23/21,0
Cook Islands,WPRO,1/31/23,40080,15112,5/17/21,10240
Costa Rica,AMRO,6/2/23,13371989,4641899,12/24/20,2957974
Croatia,EURO,6/11/23,5432701,2320124,12/23/20,994415
Cuba,AMRO,6/2/23,38105906,10749013,,8742146
Curaçao,AMRO,6/2/23,260324,108601,2/24/21,43138
Cyprus,EURO,6/11/23,1858908,669218,12/23/20,487380
Czechia,EURO,6/11/23,18614714,6972162,12/23/20,4365749
Democratic Republic of the Congo,AFRO,6/4/23,18808671,17045721,4/19/21,0
Denmark,EURO,6/11/23,14986863,4767119,12/16/20,3634971
Djibouti,EMRO,4/18/23,392703,372077,3/15/21,0
Dominica,AMRO,6/2/23,67647,32995,2/12/21,3993
Dominican Republic,AMRO,6/2/23,15972891,7322815,2/16/21,2554266
Ecuador,AMRO,2/24/23,39495110,15329151,1/20/21,7708466
Egypt,EMRO,5/21/23,112673535,56907319,1/24/21,15217352
El Salvador,AMRO,6/2/23,11426688,4656627,2/17/21,1898202
Equatorial Guinea,AFRO,7/24/22,488738,270109,2/12/21,4597
Eritrea,AFRO,7/3/22,0,0,,0
Estonia,EURO,6/11/23,2204676,845120,12/23/20,487291
Eswatini,AFRO,6/4/23,870205,526050,3/19/21,179450
Ethiopia,AFRO,5/28/23,68856793,52489512,3/13/21,5978070
Falkland Islands (Malvinas),AMRO,6/21/22,9390,3220,,2543
Faroe Islands,EURO,2/18/22,103894,41715,,21284
Fiji,WPRO,6/29/23,1547226,712025,3/7/21,172078
Finland,EURO,6/11/23,13262633,4547390,12/23/20,3088223
France,EURO,6/11/23,158038124,54676037,12/23/20,41038200
French Guiana,AMRO,6/2/23,242193,100299,1/13/21,46331
French Polynesia,WPRO,5/1/23,480028,190908,1/18/21,102317
Gabon,AFRO,2/5/23,572672,311244,3/23/21,2592
Gambia,AFRO,3/19/23,1444492,674314,3/10/21,53741
Georgia,EURO,4/16/23,2738178,1300473,3/17/21,250996
Germany,EURO,6/11/23,193234743,64867580,12/23/20,52142370
Ghana,AFRO,7/2/23,25624828,13864186,3/2/21,4806017
Gibraltar,EURO,12/16/22,132810,42175,,49170
Greece,EURO,6/11/23,21983798,7916555,12/23/20,5902253
Greenland,EURO,3/14/22,79738,41227,,0
Grenada,AMRO,6/2/23,90686,44241,2/15/21,7411
Guadeloupe,AMRO,6/2/23,400129,152113,1/8/21,89009
Guam,WPRO,1/31/23,352698,135612,1/4/21,83603
Guatemala,AMRO,6/2/23,20370595,8935137,2/25/21,3719543
Guernsey,EURO,12/19/22,178525,54223,,69339
Guinea,AFRO,4/2/23,10645240,7679918,3/5/21,302545
Guinea-Bissau,AFRO,6/4/23,825234,733271,4/2/21,48801
Guyana,AMRO,6/2/23,960133,495285,2/11/21,77874
Haiti,AMRO,6/2/23,664150,521396,,0
Honduras,AMRO,6/2/23,16901540,6485671,2/22/21,4665196
